Abbreviation,Full Form
Acta Chem Scand B,"Acta Chemica Scandinavica. Series B, Organic Chemistry and Biochemistry"
Acta Chir Orthop Traumatol Cech,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca
Acta Chir Plast,Acta Chirurgiae Plasticae
Acta Chir Acad Sci Hung,Acta Chirurgica Academiae Scientiarum Hungaricae
Acta Chir Belg,Acta Chirurgica Belgica
Acta Chir Hung,Acta Chirurgica Hungarica
Acta Chir Ital,Acta Chirurgica Italica
Acta Chir Iugosl,Acta Chirurgica Iugoslavica
Acta Chir Scand,Acta Chirurgica Scandinavica
Acta Chir Scand Suppl,Acta Chirurgica Scandinavica. Supplementum
Acta Cient Venez,Acta Cientifica Venezolana
Acta Clin Belg,Acta Clinica Belgica
Acta Clin Belg Suppl,Acta Clinica Belgica. Supplementum
Acta Clin Odontol,Acta Clinica Odontologica
Acta Crystallogr,Acta Crystallographica
Acta Crystallogr A,"Acta Crystallographica. Section A, Crystal Physics, Diffraction, Theoretical and General Crystallography"
Acta Crystallogr A,"Acta Crystallographica. Section A, Foundations of Crystallography"
Acta Crystallogr B,"Acta Crystallographica. Section B, Structural Crystallography and Crystal Chemistry"
Acta Crystallogr B,"Acta Crystallographica. Section B, Structural Science"
Acta Crystallogr C,"Acta Crystallographica. Section C, Crystal Structure Communications"
Acta Crystallogr D Biol Crystallogr,"Acta Crystallographica. Section D, Biological Crystallography"
Acta Crystallograph Sect F Struct Biol Cryst Commun,"Acta Crystallographica. Section F, Structural Biology and Crystallization Communications"
Acta Cytol,Acta Cytologica
Acta Odontol Pediatr,Acta de Odontologia Pediatrica
Acta Dermatol Kyoto Engl Ed,Acta Dermatologica Kyoto. English Edition
Acta Derm Venereol,Acta Dermato-Venereologica
Acta Derm Venereol Suppl Stockh,Acta Dermato-Venereologica. Supplementum
Acta Diabetol Lat,Acta Diabetologica Latina
Acta Diabetol,Acta Diabetologica
Acta Embryol Morphol Exp,Acta Embryologiae et Morphologiae Experimentalis
Acta Embryol Exp Palermo,Acta Embryologiae Experimentalis
Acta Endocrinol Copenh,Acta Endocrinologica
Acta Endocrinol Suppl Copenh,Acta Endocrinologica. Supplementum
Acta Eur Fertil,Acta Europaea Fertilitatis
Acta Gastroenterol Belg,Acta Gastroenterologica Belgica
Acta Gastroenterol Latinoam,Acta Gastroenterologica Latinoamericana
Acta Genet Stat Med,Acta Genetica et Statistica Medica
Acta Genet Med Gemellol Roma,Acta Geneticae Medicae et Gemellologiae
Acta Gerontol Milano,Acta Gerontologica
Acta Ginecol Madr,Acta Ginecologica
Acta Gynaecol Obstet Hisp Lusit,Acta Gynaecologica et Obstetrica Hispano-Lusitana
Acta Haematol Pol,Acta Haematologica Polonica
Acta Haematol,Acta Haematologica
Acta Hepatogastroenterol Stuttg,Acta Hepato-Gastroenterologica
Acta Hepatosplenol,Acta Hepato-Splenologica
Acta Histochem,Acta Histochemica
Acta Histochem Suppl,Acta Histochemica. Supplementband
Acta Hist Sci Nat Med,Acta Historica Scientiarum Naturalium et Medicinalium
Acta Hosp,Acta Hospitalia
Acta Iber Radiol Cancerol,Acta Iberica Radiologica-Cancerologica
Acta Isot Padova,Acta Isotopica
Acta Leiden,Acta Leidensia
Acta Leprol,Acta Leprologica
Acta Medica Hradec Kralove,Acta Medica (Hradec Kralove)
Acta Medica Hradec Kralove Suppl,Acta Medica (Hradec Kralove). Supplementum
Acta Med Acad Sci Hung,Acta Medica Academiae Scientiarum Hungaricae
Acta Med Austriaca,Acta Medica Austriaca
Acta Med Austriaca Suppl,Acta Medica Austriaca. Supplement
Acta Med Croatica,Acta Medica Croatica
Acta Med Biol Niigata,Acta Medica et Biologica
Acta Med Hung,Acta Medica Hungarica
Acta Med Iran,Acta Medica Iranica
Acta Med Ital Med Trop Subtrop Gastroenterol,Acta Medica Italica di Medicina Tropicale e Subtropicale e di Gastroenterologia
Acta Med Iugosl,Acta Medica Iugoslavica
Acta Med Nagasaki,Acta Medica Nagasakiensia
Acta Med Okayama,Acta Medica Okayama
Acta Med Philipp,Acta Medica Philippina
Acta Med Pol,Acta Medica Polona
Acta Med Port,Acta Medica Portuguesa
Acta Med Scand,Acta Medica Scandinavica
Acta Med Scand Suppl,Acta Medica Scandinavica. Supplementum
Acta Med Vet Napoli,Acta Medica Veterinaria
Acta Med Leg Soc Liege,Acta Medicinae Legalis et Socialis
Acta Microbiol Acad Sci Hung,Acta Microbiologica Academiae Scientiarum Hungaricae
Acta Microbiol Bulg,Acta Microbiologica Bulgarica
Acta Microbiol Immunol Hung,Acta Microbiologica et Immunologica Hungarica
Acta Microbiol Hung,Acta Microbiologica Hungarica
Acta Microbiol Pol,Acta Microbiologica Polonica
Acta Microbiol Pol A,"Acta Microbiologica Polonica. Series A, Microbiologia Generalis"
Acta Microbiol Pol B,"Acta Microbiologica Polonica. Series B, Microbiologia Applicata"
Acta Microbiol Virol Immunol Sofiia,"Acta Microbiologica, Virologica et Immunologica"
Acta Morphol Acad Sci Hung,Acta Morphologica Academiae Scientiarum Hungaricae
Acta Morphol Hung,Acta Morphologica Hungarica
Acta Morphol Neerl Scand,Acta Morphologica Neerlando-Scandinavica
Acta Neurobiol Exp Warsz,Acta Neurobiologiae Experimentalis
Acta Neurochir Wien,Acta Neurochirurgica
Acta Neurochir Suppl Wien,Acta Neurochirurgica. Supplementum
Acta Neurol Belg,Acta Neurologica Belgica
Acta Neurol Psychiatr Belg,Acta Neurologica et Psychiatrica Belgica
Acta Neurol Latinoam,Acta Neurologica Latinoamericana
Acta Neurol Scand,Acta Neurologica Scandinavica
Acta Neurol Scand Suppl,Acta Neurologica Scandinavica. Supplementum
Acta Neurol Napoli,Acta Neurologica
Acta Neurol Quad Napoli,Acta Neurologica. Quaderni
Acta Neuropathol Berl,Acta Neuropathologica
Acta Neuropathol Suppl Berl,Acta Neuropathologica. Supplement
Acta Neuroveg Wien,Acta Neurovegetativa
Acta Obstet Gynaecol Jpn,Acta Obstetrica et Gynaecologica Japonica
Acta Obstet Ginecol Hisp Lusit,Acta Obstetrica y Ginecologica Hispano-Lusitana
Acta Obstet Ginecol Hisp Lusit Suppl,Acta Obstetrica y Ginecologica Hispano-Lusitana. Suplemento
Acta Obstet Gynecol Scand,Acta Obstetricia et Gynecologica Scandinavica
Acta Obstet Gynecol Scand Suppl,Acta Obstetricia et Gynecologica Scandinavica. Supplement
Acta Odontol Latinoam,Acta Odontologica Latinoamericana
Acta Odontol Scand,Acta Odontologica Scandinavica
Acta Odontol Scand Suppl,Acta Odontologica Scandinavica. Supplementum
Acta Odontol Venez,Acta Odontologica Venezolana
Acta Oncol,Acta Oncologica
Acta Ophthalmol Scand,Acta Ophthalmologica Scandinavica
Acta Ophthalmol Scand Suppl,Acta Ophthalmologica Scandinavica. Supplement
Acta Ophthalmol Copenh,Acta Ophthalmologica
Acta Ophthalmol Suppl,Acta Ophthalmologica. Supplement
Acta Ophthalmol Suppl,Acta Ophthalmologica. Supplementum
Acta Orthop Belg,Acta Orthopaedica Belgica
Acta Orthop Scand,Acta Orthopaedica Scandinavica
Acta Orthop Scand Suppl,Acta Orthopaedica Scandinavica. Supplementum
Acta Orthop,Acta Orthopaedica
Acta Orthop Suppl,Acta Orthopaedica. Supplementum
Acta Otolaryngol Stockh,Acta Oto-Laryngologica
Acta Otolaryngol Suppl Stockh,Acta Oto-Laryngologica. Supplement
Acta Otorhinolaryngol Belg,Acta Oto-Rhino-Laryngologica Belgica
Acta Otorhinolaryngol Ital,Acta Otorhinolaryngologica Italica
Acta Otorinolaryngol Iber Am,Acta Oto-Rino-Laringologica Ibero-Americana
Acta Otorrinolaringol Esp,Acta Otorrinolaringologica Espanola
Acta Paediatr Acad Sci Hung,Acta Paediatrica Academiae Scientiarum Hungaricae
Acta Paediatr Belg,Acta Paediatrica Belgica
Acta Paediatr Hung,Acta Paediatrica Hungarica
Acta Paediatr Jpn,Acta Paediatrica Japonica
Acta Paediatr Scand,Acta Paediatrica Scandinavica
Acta Paediatr Scand Suppl,Acta Paediatrica Scandinavica. Supplement
Acta Paediatr Taiwan,Acta Paediatrica Taiwanica
Acta Paediatr,Acta Paediatrica
Acta Paediatr Suppl,Acta Paediatrica. Supplement
Acta Paedopsychiatr,Acta Paedopsychiatrica
Acta Pathol Microbiol Scand,Acta Pathologica et Microbiologica Scandinavica
Acta Pathol Microbiol Scand A,"Acta Pathologica et Microbiologica Scandinavica. Section A, Pathology"
Acta Pathol Microbiol Scand B Microbiol Immunol,"Acta Pathologica et Microbiologica Scandinavica. Section B, Microbiology and Immunology"
Acta Pathol Microbiol Scand B,"Acta Pathologica et Microbiologica Scandinavica. Section B, Microbiology"
Acta Pathol Microbiol Scand C,"Acta Pathologica et Microbiologica Scandinavica. Section C, Immunology"
Acta Pathol Microbiol Scand Suppl,Acta Pathologica et Microbiologica Scandinavica. Supplement
Acta Pathol Jpn,Acta Pathologica Japonica
Acta Pathol Microbiol Immunol Scand A,"Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section A, Pathology"
Acta Pathol Microbiol Immunol Scand B,"Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section B, Microbiology"
Acta Pathol Microbiol Immunol Scand C,"Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section C, Immunology"
Acta Pathol Microbiol Immunol Scand Suppl,"Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Supplement"
Acta Pediatr Esp,Acta Pediatrica Espanola
Acta Pharm Hung,Acta Pharmaceutica Hungarica
Acta Pharm Nord,Acta Pharmaceutica Nordica
Acta Pharm Suec,Acta Pharmaceutica Suecica
Acta Pharmacol Toxicol Copenh,Acta Pharmacologica et Toxicologica
Acta Pharmacol Sin,Acta Pharmacologica Sinica
Acta Physiol Acad Sci Hung,Acta Physiologica Academiae Scientiarum Hungaricae
Acta Physiol Pharmacol Bulg,Acta Physiologica et Pharmacologica Bulgarica
Acta Physiol Pharmacol Latinoam,Acta Physiologica et Pharmacologica Latinoamericana
Acta Physiol Pharmacol Neerl,Acta Physiologica et Pharmacologica Neerlandica
Acta Physiol Hung,Acta Physiologica Hungarica
Acta Physiol Lat Am,Acta Physiologica Latinoamericana
Acta Physiol Pol,Acta Physiologica Polonica
Acta Physiol Scand,Acta Physiologica Scandinavica
Acta Physiol Scand Suppl,Acta Physiologica Scandinavica. Supplementum
Acta Physiol,Acta Physiologica
Acta Physiol Pharmacol Ther Latinoam,"Acta Physiologica, Pharmacologica et Therapeutica Latinoamericana"
Acta Pol Pharm,Acta Poloniae Pharmaceutica
Acta Psiquiatr Psicol Am Lat,Acta Psiquiatrica y Psicologica de America Latina
Acta Psychiatr Belg,Acta Psychiatrica Belgica
Acta Psychiatr Scand,Acta Psychiatrica Scandinavica
Acta Psychiatr Scand Suppl,Acta Psychiatrica Scandinavica. Supplementum
Acta Psychol Amst,Acta Psychologica
Acta Radiol,Acta Radiologica
Acta Radiol Diagn Stockh,Acta Radiologica. Diagnosis
Acta Radiol Oncol,Acta Radiologica. Oncology
Acta Radiol Oncol Radiat Phys Biol,"Acta Radiologica. Oncology, Radiation, Physics, Biology"
Acta Radiol Suppl,Acta Radiologica. Supplementum
Acta Radiol Ther Phys Biol,"Acta Radiologica. Therapy, Physics, Biology"
Acta Rheumatol Scand,Acta Rheumatologica Scandinavica
Acta Rhumatol Belg,Acta Rhumatologica Belgica
Acta Rhumatol,Acta Rhumatologica
Acta Sch Med Univ Kioto,Acta Scholae Medicinalis Universitatis in Kioto
Acta Soc Med Ups,Acta Societatis Medicorum Upsaliensis
Acta Sociomed Scand,Acta Socio-Medica Scandinavica
Acta Sociomed Scand Suppl,Acta Socio-Medica Scandinavica. Supplement
Acta Stomatol Belg,Acta Stomatologica Belgica
Acta Stomatol Croat,Acta Stomatologica Croatica
Acta Stomatol Int,Acta Stomatologica Internationalia
Acta Theriol Warsz,Acta Theriologica
Acta Trop,Acta Tropica
Acta Trop Suppl,Acta Tropica. Supplement
Acta Tuberc Pneumol Belg,Acta Tuberculosea et Pneumologica Belgica
Acta Tuberc Pneumol Scand,Acta Tuberculosea et Pneumologica Scandinavica
Acta Tuberc Jpn,Acta Tuberculosea Japonica
Acta Univ Carol Med Praha,Acta Universitatis Carolinae. Medica
Acta Univ Carol Med Monogr,Acta Universitatis Carolinae. Medica. Monographia
Acta Univ Palacki Olomuc Fac Med,Acta Universitatis Palackianae Olomucensis Facultatis Medicae
Acta Urol Belg,Acta Urologica Belgica
Acta Vet Acad Sci Hung,Acta Veterinaria Academiae Scientiarum Hungaricae
Acta Vet Hung,Acta Veterinaria Hungarica
Acta Vet Scand,Acta Veterinaria Scandinavica
Acta Vet Scand Suppl,Acta Veterinaria Scandinavica. Supplement
Acta Vet Beogr,Acta Veterinaria
Acta Virol,Acta Virologica
Acta Vitaminol Enzymol,Acta Vitaminologica et Enzymologica
Acta Vitaminol,Acta Vitaminologica
Acta Zool Pathol Antverp,Acta Zoologica et Pathologica Antverpiensia
Actas Dermosifiliogr,Actas Dermo-Sifiliograficas
Actas Esp Psiquiatr,Actas Espanolas de Psiquiatria
Actas Luso Esp Neurol Psiquiatr,Actas Luso-Espanolas de Neurologia y Psiquiatria
Actas Luso Esp Neurol Psiquiatr Cienc Afines,"Actas Luso-Espanolas de Neurologia, Psiquiatria y Ciencias Afines"
Actas Urol Esp,Actas Urologicas Espanolas
Act Nerv Super Praha,Activitas Nervosa Superior
Actual Pediatr Granada,Actualidad Pediatrica
Actual Cardiol Angeiol Int Paris,Actualites Cardiologiques et Angeiologiques Internationales
Actual Physiol Pathol Paris,Actualites de Physiologie Pathologique
Actual Endocrinol Paris,Actualites Endocrinologiques
Actual Hepatogastroenterol Paris,Actualites Hepato-Gastro-Enterologiques
Actual Neurophysiol Paris,Actualites Neurophysiologiques
Actual Odontostomatol Paris,Actualites Odonto-Stomatologiques
Actual Pharmacol Paris,Actualites Pharmacologiques
Acupunct Electrother Res,Acupuncture and Electro-Therapeutics Research
Acute Card Care,Acute Cardiac Care
Acute Care,Acute Care
AD Nurse,AD Nurse
ADA News,ADA News
Addict Biol,Addiction Biology
Addiction,Addiction
Addict Behav,Addictive Behaviors
Addict Dis,Addictive Diseases
Additamenta Folia Med Neerl,Additamenta ad Folia Medica Neerlandica
ADM,ADM
Adm Policy Ment Health,Administration and Policy in Mental Health
Adm Ment Health,Administration in Mental Health
Adm Soc Work,Administration in Social Work
Adm Manage,Administrative Management
Adm Radiol J,Administrative Radiology Journal
Adm Radiol,Administrative Radiology
Adm Sci Q,Administrative Science Quarterly
Admit Manage J,Admitting Management Journal
Adolescence,Adolescence
Adolesc Med Clin,Adolescent Medicine Clinics
Adolesc Med,Adolescent Medicine
Adolesc Psychiatry,Adolescent Psychiatry
Adult Educ,Adult Education
Adv Data,Advance Data
Adv Nurse Pract,Advance for Nurse Practitioners
Adv Mater,Advanced Materials
Adv Pract Nurs Q,Advanced Practice Nursing Quarterly
Adv Sci,Advancement of Science
Adv Tech Stand Neurosurg,Advances and Technical Standards in Neurosurgery
Adv Adapt Data Anal,Advances in Adaptive Data Analysis
Adv Alcohol Subst Abuse,Advances in Alcohol and Substance Abuse
Adv Anat Pathol,Advances in Anatomic Pathology
Adv Anat Embryol Cell Biol,"Advances in Anatomy, Embryology and Cell Biology"
Adv Appl Microbiol,Advances in Applied Microbiology
Adv Behav Biol,Advances in Behavioral Biology
Adv Biochem Eng Biotechnol,Advances in Biochemical Engineering/Biotechnology
Adv Biochem Psychopharmacol,Advances in Biochemical Psychopharmacology
Adv Biol Med Phys,Advances in Biological and Medical Physics
Adv Biol Skin,Advances in Biology of Skin
Adv Biomed Eng Med Phys,Advances in Biomedical Engineering and Medical Physics
Adv Biophys,Advances in Biophysics
Adv Biotechnol Processes,Advances in Biotechnological Processes
Adv Cancer Res,Advances in Cancer Research
Adv Carbohydr Chem Biochem,Advances in Carbohydrate Chemistry and Biochemistry
Adv Card Surg,Advances in Cardiac Surgery
Adv Cardiol,Advances in Cardiology
Adv Cardiopulm Dis,Advances in Cardiopulmonary Diseases
Adv Cell Biol,Advances in Cell Biology
Adv Chemother,Advances in Chemotherapy
Adv Child Dev Behav,Advances in Child Development and Behavior
Adv Chromatogr,Advances in Chromatography
Adv Chronic Kidney Dis,Advances in Chronic Kidney Disease
Adv Clin Chem,Advances in Clinical Chemistry
Adv Clin Path,Advances in Clinical Pathology
Adv Clin Pharmacol,Advances in Clinical Pharmacology
Adv Clin Rehabil,Advances in Clinical Rehabilitation
Adv Colloid Interface Sci,Advances in Colloid and Interface Science
Adv Comp Physiol Biochem,Advances in Comparative Physiology and Biochemistry
Adv Contracept,Advances in Contraception
Adv Cyclic Nucleotide Protein Phosphorylation Res,Advances in Cyclic Nucleotide and Protein Phosphorylation Research
Adv Cyclic Nucleotide Res,Advances in Cyclic Nucleotide Research
Adv Cytopharmacol,Advances in Cytopharmacology
Adv Dent Res,Advances in Dental Research
Adv Dermatol,Advances in Dermatology
Adv Drug Res,Advances in Drug Research
Adv Endocrinol Metab,Advances in Endocrinology and Metabolism
Adv Enzyme Regul,Advances in Enzyme Regulation
Adv Enzymol Relat Areas Mol Biol,Advances in Enzymology and Related Areas of Molecular Biology
Adv Exp Med Biol,Advances in Experimental Medicine and Biology
Adv Fluorine Res,Advances in Fluorine Research and Dental Caries Prevention
Adv Food Nutr Res,Advances in Food and Nutrition Research
Adv Food Res,Advances in Food Research
Adv Food Res Suppl,Advances in Food Research. Supplement
Adv Genet,Advances in Genetics
Adv Gerontol Res,Advances in Gerontological Research
Adv Health Econ Health Serv Res,Advances in Health Economics and Health Services Research
Adv Health Econ Health Serv Res Suppl,Advances in Health Economics and Health Services Research. Supplement
Adv Health Sci Educ Theory Pract,Advances in Health Sciences Education Theory and Practice
Adv Heterocycl Chem,Advances in Heterocyclic Chemistry
Adv Hum Genet,Advances in Human Genetics
Adv Immun Cancer Ther,Advances in Immunity and Cancer Therapy
Adv Immunol,Advances in Immunology
Adv Inorg Biochem,Advances in Inorganic Biochemistry
Adv Intern Med,Advances in Internal Medicine
Adv Lipid Res,Advances in Lipid Research
Adv Med Sci,Advances in Medical Sciences
Adv Metab Disord,Advances in Metabolic Disorders
Adv Microb Physiol,Advances in Microbial Physiology
Adv Mind Body Med,Advances in Mind-Body Medicine
Adv Morphog,Advances in Morphogenesis
Adv Myocardiol,Advances in Myocardiology
Adv Neonatal Care,Advances in Neonatal Care
Adv Nephrol Necker Hosp,Advances in Nephrology from the Necker Hospital
Adv Neuroimmunol,Advances in Neuroimmunology
Adv Neurol,Advances in Neurology
Adv Nutr Res,Advances in Nutritional Research
Adv Ophthalmic Plast Reconstr Surg,"Advances in Ophthalmic, Plastic, and Reconstructive Surgery"
Adv Ophthalmol,Advances in Ophthalmology
Adv Oral Biol,Advances in Oral Biology
Adv Otorhinolaryngol,Advances in Oto-Rhino-Laryngology
Adv Parasitol,Advances in Parasitology
Adv Pathobiol,Advances in Pathobiology
Adv Pediatr Infect Dis,Advances in Pediatric Infectious Diseases
Adv Pediatr,Advances in Pediatrics
Adv Perit Dial,Advances in Peritoneal Dialysis
Adv Pest Control Res,Advances in Pest Control Research
Adv Pharm Sci,Advances in Pharmaceutical Sciences
Adv Pharmacol Chemother,Advances in Pharmacology and Chemotherapy
Adv Pharmacol,Advances in Pharmacology
Adv Plan Parent,Advances in Planned Parenthood
Adv Prostaglandin Thromboxane Res,Advances in Prostaglandin and Thromboxane Research
Adv Prostaglandin Thromboxane Leukot Res,"Advances in Prostaglandin, Thromboxane, and Leukotriene Research"
Adv Protein Chem,Advances in Protein Chemistry
Adv Psychobiol,Advances in Psychobiology
Adv Psychosom Med,Advances in Psychosomatic Medicine
Adv Ren Replace Ther,Advances in Renal Replacement Therapy
Adv Reprod Physiol,Advances in Reproductive Physiology
Adv Second Messenger Phosphoprotein Res,Advances in Second Messenger and Phosphoprotein Research
Adv Sex Horm Res,Advances in Sex Hormone Research
Adv Shock Res,Advances in Shock Research
Adv Sociodent Res,Advances in Socio-Dental Research
Adv Space Biol Med,Advances in Space Biology and Medicine
Adv Steroid Biochem Pharmacol,Advances in Steroid Biochemistry and Pharmacology
Adv Surg,Advances in Surgery
Adv Biosci,Advances in the Biosciences
Adv Ther,Advances in Therapy
Adv Tracer Methodol,Advances in Tracer Methodology
Adv Tuberc Res,Advances in Tuberculosis Research
Adv Vet Med,Advances in Veterinary Medicine
Adv Vet Sci Comp Med,Advances in Veterinary Science and Comparative Medicine
Adv Vet Sci,Advances in Veterinary Science
Adv Virus Res,Advances in Virus Research
Adv Wound Care,Advances in Wound Care
Adv Clin Care,Advancing Clinical Care
Adverse Drug React Acute Poisoning Rev,Adverse Drug Reactions and Acute Poisoning Reviews
Adverse Drug React Toxicol Rev,Adverse Drug Reactions and Toxicological Reviews
Advert Age,Advertising Age
Aeromed Rev,Aeromedical Review
Aerosp Med,Aerospace Medicine
Aesthetic Plast Surg,Aesthetic Plastic Surgery
Aesthet Surg J,Aesthetic Surgery Journal
AFL CIO Am Fed,AFL-CIO American Federationist
Afr Dent J,African Dental Journal
Afr Health Sci,African Health Sciences
Afr J Med Sci,African Journal of Medical Sciences
Afr J Med Med Sci,African Journal of Medicine and Medical Sciences
Afr J Psychiatry,African Journal of Psychiatry
Afr J Reprod Health,African Journal of Reproductive Health
Afr J Tradit Complement Altern Med,"African Journal of Traditional, Complementary, and Alternative Medicines"
Age Ageing,Age and Ageing
Age,Age
Aged Care Serv Rev,Aged Care and Services Review
Ageing Res Rev,Ageing Research Reviews
Agents Actions,Agents and Actions
Agents Actions Suppl,Agents and Actions. Supplements
Aggiorn Clinico Ter,Aggiornamenti Clinicoterapeutici
Aging Leis Living,Aging and Leisure Living
Aging Ment Health,Aging and Mental Health
Aging Cell,Aging Cell
Aging Clin Exp Res,Aging Clinical and Experimental Research
Aging Male,Aging Male
Aging Trends,Aging Trends
Aging Milano,Aging
Aging,Aging
Agnes Karll Schwest Krankenpfleger,Agnes Karll-Schwester. Der Krankenpfleger
Agressologie,Agressologie
Agric Biol Chem,Agricultural and Biological Chemistry
AHA Hosp Technol Ser,AHA Hospital Technology Series
AHME J,AHME Journal
Ahot Beyisrael,Ahot Be-Yisrael
AIA J,AIA Journal
Aichi Gakuin Daigaku Shigakkai Shi,Aichi Gakuin Daigaku Shigakkai Shi (Aichi-Gakuin Journal of Dental Science)
Aichi Gakuin Dent Sci,Aichi-Gakuin Dental Science
AIDS Behav,AIDS and Behavior
AIDS Care,AIDS Care
AIDS Clin Rev,AIDS Clinical Review
AIDS Educ Prev,AIDS Education and Prevention
AIDS Patient Care STDS,AIDS Patient Care and STDs
AIDS Read,AIDS Reader
AIDS Res Hum Retroviruses,AIDS Research and Human Retroviruses
AIDS Res Ther,AIDS Research and Therapy
AIDS Res,AIDS Research
AIDS Rev,AIDS Reviews
AIDS Treat News,AIDS Treatment News
AIDS,AIDS
AIHA J,AIHA Journal
AIHAJ,AIHAJ
Air Waste,Air and Waste
Air Water Pollut,Air and Water Pollution
Air Med J,Air Medical Journal
AJNR Am J Neuroradiol,AJNR: American Journal of Neuroradiology
AJR Am J Roentgenol,AJR: American Journal of Roentgenology
AJS,AJS: American Journal of Sociology
Aktuelle Gerontol,Aktuelle Gerontologie
Aktuelle Otorhinolaryngol,Aktuelle Oto-Rhino-Laryngologie
Aktuelle Probl Chir Orthop,Aktuelle Probleme in Chirurgie und Orthopadie
Aktuelle Probl Chir,Aktuelle Probleme in der Chirurgie
Aktuelle Radiol,Aktuelle Radiologie
Aktuelle Traumatol,Aktuelle Traumatologie
Akush Ginekol Sofiia,Akusherstvo i Ginekologiia
Ala J Med Sci,Alabama Journal of Medical Sciences
Ala Med,Alabama Medicine
Ala Nurse,Alabama Nurse
ALAFO,ALAFO: Revista de la Asociacion Latinoamericana de Facultades de Odontologia
Alaska Med,Alaska Medicine
Alaska Nurse,Alaska Nurse
Albany Law Rev,Albany Law Review
Albrecht Von Graefes Arch Klin Exp Ophthalmol,Albrecht von Graefes Archiv fur Klinische und Experimentelle Ophthalmologie
Alcohol Alcohol,Alcohol and Alcoholism
Alcohol Alcohol Suppl,Alcohol and Alcoholism. Supplement
Alcohol Drug Res,Alcohol and Drug Research
Alcohol Health Res World,Alcohol Health and Research World
Alcohol Res Health,Alcohol Research and Health
Alcohol,Alcohol
Alcohol Clin Exp Res,"Alcoholism, Clinical and Experimental Research"
Alergia,Alergia
Alex Dent J,Alexandria Dental Journal
Algorithms Mol Biol,Algorithms for Molecular Biology
Aliment Pharmacol Ther,Alimentary Pharmacology and Therapeutics
Aliment Vie,Alimentation et la Vie
Alkaloids Chem Biol,"Alkaloids, Chemistry and Biology"
Allerg Immunol Paris,Allergie et Immunologie
Allerg Asthma Leipz,Allergie und Asthma
Allerg Asthmaforsch,Allergie und Asthmaforschung
Allerg Immunol Leipz,Allergie und Immunologie
